"(0,)",tensor(20.0400)
"(1,)",tensor(19.8600)
"(0, 1)",tensor(37.7600)
"(2,)",tensor(21.3500)
"(0, 2)",tensor(30.9300)
"(1, 2)",tensor(39.7700)
"(0, 1, 2)",tensor(46.8300)
"(3,)",tensor(19.8000)
"(0, 3)",tensor(38.4600)
"(1, 3)",tensor(37.6200)
"(0, 1, 3)",tensor(54.3400)
"(2, 3)",tensor(40.4000)
"(0, 2, 3)",tensor(48.6400)
"(1, 2, 3)",tensor(57.3500)
"(0, 1, 2, 3)",tensor(62.9200)
"(4,)",tensor(21.1500)
"(0, 4)",tensor(40.0500)
"(1, 4)",tensor(30.3800)
"(0, 1, 4)",tensor(47.2200)
"(2, 4)",tensor(30.5500)
"(0, 2, 4)",tensor(38.4500)
"(1, 2, 4)",tensor(38.6700)
"(0, 1, 2, 4)",tensor(45.9300)
"(3, 4)",tensor(40.5900)
"(0, 3, 4)",tensor(57.6700)
"(1, 3, 4)",tensor(47.9000)
"(0, 1, 3, 4)",tensor(63.4600)
"(2, 3, 4)",tensor(49.1200)
"(0, 2, 3, 4)",tensor(55.6400)
"(1, 2, 3, 4)",tensor(55.4600)
"(0, 1, 2, 3, 4)",tensor(62.0700)
"(5,)",tensor(19.4900)
"(0, 5)",tensor(29.0100)
"(1, 5)",tensor(37.5400)
"(0, 1, 5)",tensor(44.8100)
"(2, 5)",tensor(39.6600)
"(0, 2, 5)",tensor(39.6400)
"(1, 2, 5)",tensor(56.0400)
"(0, 1, 2, 5)",tensor(53.8200)
"(3, 5)",tensor(37.9400)
"(0, 3, 5)",tensor(46.4500)
"(1, 3, 5)",tensor(53.5500)
"(0, 1, 3, 5)",tensor(60.8300)
"(2, 3, 5)",tensor(57.1400)
"(0, 2, 3, 5)",tensor(56.6100)
"(1, 2, 3, 5)",tensor(71.7100)
"(0, 1, 2, 3, 5)",tensor(68.6800)
"(4, 5)",tensor(39.8200)
"(0, 4, 5)",tensor(48.3500)
"(1, 4, 5)",tensor(46.7800)
"(0, 1, 4, 5)",tensor(54.5900)
"(2, 4, 5)",tensor(47.8000)
"(0, 2, 4, 5)",tensor(47.7000)
"(1, 2, 4, 5)",tensor(53.8400)
"(0, 1, 2, 4, 5)",tensor(53.7900)
"(3, 4, 5)",tensor(57.5300)
"(0, 3, 4, 5)",tensor(65.3200)
"(1, 3, 4, 5)",tensor(62.4700)
"(0, 1, 3, 4, 5)",tensor(70.6200)
"(2, 3, 4, 5)",tensor(64.3100)
"(0, 2, 3, 4, 5)",tensor(63.4900)
"(1, 2, 3, 4, 5)",tensor(68.9100)
"(0, 1, 2, 3, 4, 5)",tensor(68.3200)
"(6,)",tensor(19.8200)
"(0, 6)",tensor(28.9900)
"(1, 6)",tensor(29.1000)
"(0, 1, 6)",tensor(36.9600)
"(2, 6)",tensor(30.5500)
"(0, 2, 6)",tensor(38.3300)
"(1, 2, 6)",tensor(39.2900)
"(0, 1, 2, 6)",tensor(46.0900)
"(3, 6)",tensor(38.9700)
"(0, 3, 6)",tensor(46.6200)
"(1, 3, 6)",tensor(46.3400)
"(0, 1, 3, 6)",tensor(53.5800)
"(2, 3, 6)",tensor(49.1900)
"(0, 2, 3, 6)",tensor(54.4200)
"(1, 2, 3, 6)",tensor(56.5700)
"(0, 1, 2, 3, 6)",tensor(62.5800)
"(4, 6)",tensor(30.5300)
"(0, 4, 6)",tensor(40.0400)
"(1, 4, 6)",tensor(38.2500)
"(0, 1, 4, 6)",tensor(46.3100)
"(2, 4, 6)",tensor(31.0200)
"(0, 2, 4, 6)",tensor(38.9500)
"(1, 2, 4, 6)",tensor(38.4000)
"(0, 1, 2, 4, 6)",tensor(44.7000)
"(3, 4, 6)",tensor(49.5100)
"(0, 3, 4, 6)",tensor(57.6500)
"(1, 3, 4, 6)",tensor(55.7200)
"(0, 1, 3, 4, 6)",tensor(63.1700)
"(2, 3, 4, 6)",tensor(48.9000)
"(0, 2, 3, 4, 6)",tensor(55.7800)
"(1, 2, 3, 4, 6)",tensor(55.5700)
"(0, 1, 2, 3, 4, 6)",tensor(60.4600)
"(5, 6)",tensor(38.1000)
"(0, 5, 6)",tensor(37.5300)
"(1, 5, 6)",tensor(44.9500)
"(0, 1, 5, 6)",tensor(45.3700)
"(2, 5, 6)",tensor(48.0600)
"(0, 2, 5, 6)",tensor(46.5100)
"(1, 2, 5, 6)",tensor(55.4000)
"(0, 1, 2, 5, 6)",tensor(53.9800)
"(3, 5, 6)",tensor(55.4500)
"(0, 3, 5, 6)",tensor(54.8000)
"(1, 3, 5, 6)",tensor(61.4900)
"(0, 1, 3, 5, 6)",tensor(60.6400)
"(2, 3, 5, 6)",tensor(64.9900)
"(0, 2, 3, 5, 6)",tensor(61.5900)
"(1, 2, 3, 5, 6)",tensor(70.5400)
"(0, 1, 2, 3, 5, 6)",tensor(68.4800)
"(4, 5, 6)",tensor(48.1300)
"(0, 4, 5, 6)",tensor(48.6200)
"(1, 4, 5, 6)",tensor(52.9500)
"(0, 1, 4, 5, 6)",tensor(54.0300)
"(2, 4, 5, 6)",tensor(47.2700)
"(0, 2, 4, 5, 6)",tensor(48.2400)
"(1, 2, 4, 5, 6)",tensor(52.1600)
"(0, 1, 2, 4, 5, 6)",tensor(53.3600)
"(3, 4, 5, 6)",tensor(64.9800)
"(0, 3, 4, 5, 6)",tensor(65.0400)
"(1, 3, 4, 5, 6)",tensor(69.5900)
"(0, 1, 3, 4, 5, 6)",tensor(68.5000)
"(2, 3, 4, 5, 6)",tensor(63.7100)
"(0, 2, 3, 4, 5, 6)",tensor(63.9500)
"(1, 2, 3, 4, 5, 6)",tensor(67.2600)
"(0, 1, 2, 3, 4, 5, 6)",tensor(66.5400)
"(7,)",tensor(30.7700)
"(0, 7)",tensor(39.9200)
"(1, 7)",tensor(47.2600)
"(0, 1, 7)",tensor(54.6400)
"(2, 7)",tensor(40.0100)
"(0, 2, 7)",tensor(39.8800)
"(1, 2, 7)",tensor(55.9000)
"(0, 1, 2, 7)",tensor(53.5900)
"(3, 7)",tensor(39.3100)
"(0, 3, 7)",tensor(48.8200)
"(1, 3, 7)",tensor(53.7300)
"(0, 1, 3, 7)",tensor(61.5800)
"(2, 3, 7)",tensor(48.3900)
"(0, 2, 3, 7)",tensor(49.4300)
"(1, 2, 3, 7)",tensor(61.7900)
"(0, 1, 2, 3, 7)",tensor(61.5900)
"(4, 7)",tensor(39.8600)
"(0, 4, 7)",tensor(48.6800)
"(1, 4, 7)",tensor(45.9800)
"(0, 1, 4, 7)",tensor(54.2100)
"(2, 4, 7)",tensor(47.9100)
"(0, 2, 4, 7)",tensor(47.2300)
"(1, 2, 4, 7)",tensor(53.8300)
"(0, 1, 2, 4, 7)",tensor(53.8800)
"(3, 4, 7)",tensor(48.0600)
"(0, 3, 4, 7)",tensor(57.9100)
"(1, 3, 4, 7)",tensor(53.0900)
"(0, 1, 3, 4, 7)",tensor(61.6600)
"(2, 3, 4, 7)",tensor(56.3700)
"(0, 2, 3, 4, 7)",tensor(56.0400)
"(1, 2, 3, 4, 7)",tensor(60.8600)
"(0, 1, 2, 3, 4, 7)",tensor(60.4500)
"(5, 7)",tensor(39.4000)
"(0, 5, 7)",tensor(46.1700)
"(1, 5, 7)",tensor(54.8400)
"(0, 1, 5, 7)",tensor(58.9700)
"(2, 5, 7)",tensor(48.4800)
"(0, 2, 5, 7)",tensor(46.6000)
"(1, 2, 5, 7)",tensor(63.2500)
"(0, 1, 2, 5, 7)",tensor(57.8100)
"(3, 5, 7)",tensor(48.5100)
"(0, 3, 5, 7)",tensor(54.)
"(1, 3, 5, 7)",tensor(62.8000)
"(0, 1, 3, 5, 7)",tensor(66.7800)
"(2, 3, 5, 7)",tensor(57.5600)
"(0, 2, 3, 5, 7)",tensor(56.5700)
"(1, 2, 3, 5, 7)",tensor(70.5500)
"(0, 1, 2, 3, 5, 7)",tensor(66.)
"(4, 5, 7)",tensor(48.5200)
"(0, 4, 5, 7)",tensor(54.7800)
"(1, 4, 5, 7)",tensor(54.5600)
"(0, 1, 4, 5, 7)",tensor(59.3300)
"(2, 4, 5, 7)",tensor(56.8200)
"(0, 2, 4, 5, 7)",tensor(53.6000)
"(1, 2, 4, 5, 7)",tensor(61.5600)
"(0, 1, 2, 4, 5, 7)",tensor(58.8700)
"(3, 4, 5, 7)",tensor(57.6800)
"(0, 3, 4, 5, 7)",tensor(64.0300)
"(1, 3, 4, 5, 7)",tensor(61.9700)
"(0, 1, 3, 4, 5, 7)",tensor(66.0600)
"(2, 3, 4, 5, 7)",tensor(65.5600)
"(0, 2, 3, 4, 5, 7)",tensor(62.3300)
"(1, 2, 3, 4, 5, 7)",tensor(68.9100)
"(0, 1, 2, 3, 4, 5, 7)",tensor(66.9300)
"(6, 7)",tensor(49.1300)
"(0, 6, 7)",tensor(48.2800)
"(1, 6, 7)",tensor(54.5300)
"(0, 1, 6, 7)",tensor(54.7400)
"(2, 6, 7)",tensor(48.2100)
"(0, 2, 6, 7)",tensor(46.6200)
"(1, 2, 6, 7)",tensor(55.0100)
"(0, 1, 2, 6, 7)",tensor(53.9000)
"(3, 6, 7)",tensor(56.9700)
"(0, 3, 6, 7)",tensor(56.6500)
"(1, 3, 6, 7)",tensor(61.9000)
"(0, 1, 3, 6, 7)",tensor(62.4800)
"(2, 3, 6, 7)",tensor(56.8700)
"(0, 2, 3, 6, 7)",tensor(55.9500)
"(1, 2, 3, 6, 7)",tensor(62.2800)
"(0, 1, 2, 3, 6, 7)",tensor(62.0500)
"(4, 6, 7)",tensor(48.4600)
"(0, 4, 6, 7)",tensor(49.1400)
"(1, 4, 6, 7)",tensor(53.5400)
"(0, 1, 4, 6, 7)",tensor(54.2800)
"(2, 4, 6, 7)",tensor(47.4900)
"(0, 2, 4, 6, 7)",tensor(48.3800)
"(1, 2, 4, 6, 7)",tensor(52.2100)
"(0, 1, 2, 4, 6, 7)",tensor(53.0800)
"(3, 4, 6, 7)",tensor(56.9600)
"(0, 3, 4, 6, 7)",tensor(58.3400)
"(1, 3, 4, 6, 7)",tensor(60.4900)
"(0, 1, 3, 4, 6, 7)",tensor(61.4700)
"(2, 3, 4, 6, 7)",tensor(56.7700)
"(0, 2, 3, 4, 6, 7)",tensor(57.4200)
"(1, 2, 3, 4, 6, 7)",tensor(59.7000)
"(0, 1, 2, 3, 4, 6, 7)",tensor(61.0900)
"(5, 6, 7)",tensor(57.0300)
"(0, 5, 6, 7)",tensor(54.4100)
"(1, 5, 6, 7)",tensor(63.7000)
"(0, 1, 5, 6, 7)",tensor(59.5400)
"(2, 5, 6, 7)",tensor(56.6600)
"(0, 2, 5, 6, 7)",tensor(52.4200)
"(1, 2, 5, 6, 7)",tensor(63.2800)
"(0, 1, 2, 5, 6, 7)",tensor(60.0800)
"(3, 5, 6, 7)",tensor(65.4400)
"(0, 3, 5, 6, 7)",tensor(61.8700)
"(1, 3, 5, 6, 7)",tensor(70.0200)
"(0, 1, 3, 5, 6, 7)",tensor(67.6300)
"(2, 3, 5, 6, 7)",tensor(66.0600)
"(0, 2, 3, 5, 6, 7)",tensor(61.2200)
"(1, 2, 3, 5, 6, 7)",tensor(71.3900)
"(0, 1, 2, 3, 5, 6, 7)",tensor(66.4500)
"(4, 5, 6, 7)",tensor(57.0400)
"(0, 4, 5, 6, 7)",tensor(56.2200)
"(1, 4, 5, 6, 7)",tensor(60.9800)
"(0, 1, 4, 5, 6, 7)",tensor(58.5900)
"(2, 4, 5, 6, 7)",tensor(56.9600)
"(0, 2, 4, 5, 6, 7)",tensor(54.2400)
"(1, 2, 4, 5, 6, 7)",tensor(60.8900)
"(0, 1, 2, 4, 5, 6, 7)",tensor(57.8300)
"(3, 4, 5, 6, 7)",tensor(66.0500)
"(0, 3, 4, 5, 6, 7)",tensor(65.3900)
"(1, 3, 4, 5, 6, 7)",tensor(69.1500)
"(0, 1, 3, 4, 5, 6, 7)",tensor(66.9900)
"(2, 3, 4, 5, 6, 7)",tensor(66.4300)
"(0, 2, 3, 4, 5, 6, 7)",tensor(63.9100)
"(1, 2, 3, 4, 5, 6, 7)",tensor(68.5800)
"(0, 1, 2, 3, 4, 5, 6, 7)",tensor(65.4800)
"(8,)",tensor(9.7400)
"(0, 8)",tensor(28.5400)
"(1, 8)",tensor(19.3400)
"(0, 1, 8)",tensor(34.2800)
"(2, 8)",tensor(30.0700)
"(0, 2, 8)",tensor(38.6500)
"(1, 2, 8)",tensor(36.1700)
"(0, 1, 2, 8)",tensor(42.8600)
"(3, 8)",tensor(28.2900)
"(0, 3, 8)",tensor(46.0900)
"(1, 3, 8)",tensor(34.0800)
"(0, 1, 3, 8)",tensor(50.0500)
"(2, 3, 8)",tensor(47.9600)
"(0, 2, 3, 8)",tensor(55.7900)
"(1, 2, 3, 8)",tensor(51.2300)
"(0, 1, 2, 3, 8)",tensor(57.1500)
"(4, 8)",tensor(30.0600)
"(0, 4, 8)",tensor(47.7000)
"(1, 4, 8)",tensor(28.3600)
"(0, 1, 4, 8)",tensor(44.1900)
"(2, 4, 8)",tensor(39.0400)
"(0, 2, 4, 8)",tensor(45.5200)
"(1, 2, 4, 8)",tensor(39.0500)
"(0, 1, 2, 4, 8)",tensor(45.4400)
"(3, 4, 8)",tensor(48.0900)
"(0, 3, 4, 8)",tensor(64.8900)
"(1, 3, 4, 8)",tensor(45.1100)
"(0, 1, 3, 4, 8)",tensor(58.5600)
"(2, 3, 4, 8)",tensor(56.3700)
"(0, 2, 3, 4, 8)",tensor(61.2800)
"(1, 2, 3, 4, 8)",tensor(54.0700)
"(0, 1, 2, 3, 4, 8)",tensor(59.8300)
"(5, 8)",tensor(28.0600)
"(0, 5, 8)",tensor(37.1800)
"(1, 5, 8)",tensor(33.8000)
"(0, 1, 5, 8)",tensor(45.4500)
"(2, 5, 8)",tensor(47.5400)
"(0, 2, 5, 8)",tensor(47.2500)
"(1, 2, 5, 8)",tensor(52.0500)
"(0, 1, 2, 5, 8)",tensor(52.3300)
"(3, 5, 8)",tensor(45.2200)
"(0, 3, 5, 8)",tensor(53.3200)
"(1, 3, 5, 8)",tensor(49.3700)
"(0, 1, 3, 5, 8)",tensor(58.8200)
"(2, 3, 5, 8)",tensor(64.1900)
"(0, 2, 3, 5, 8)",tensor(62.6600)
"(1, 2, 3, 5, 8)",tensor(65.4300)
"(0, 1, 2, 3, 5, 8)",tensor(66.8900)
"(4, 5, 8)",tensor(47.5700)
"(0, 4, 5, 8)",tensor(55.9000)
"(1, 4, 5, 8)",tensor(43.0900)
"(0, 1, 4, 5, 8)",tensor(54.0400)
"(2, 4, 5, 8)",tensor(54.7800)
"(0, 2, 4, 5, 8)",tensor(53.4300)
"(1, 2, 4, 5, 8)",tensor(52.4400)
"(0, 1, 2, 4, 5, 8)",tensor(55.8200)
"(3, 4, 5, 8)",tensor(63.9000)
"(0, 3, 4, 5, 8)",tensor(71.4300)
"(1, 3, 4, 5, 8)",tensor(59.1900)
"(0, 1, 3, 4, 5, 8)",tensor(67.4900)
"(2, 3, 4, 5, 8)",tensor(71.4300)
"(0, 2, 3, 4, 5, 8)",tensor(68.9000)
"(1, 2, 3, 4, 5, 8)",tensor(66.8300)
"(0, 1, 2, 3, 4, 5, 8)",tensor(68.)
"(6, 8)",tensor(28.7300)
"(0, 6, 8)",tensor(36.9900)
"(1, 6, 8)",tensor(28.8300)
"(0, 1, 6, 8)",tensor(35.0300)
"(2, 6, 8)",tensor(38.8900)
"(0, 2, 6, 8)",tensor(45.2300)
"(1, 2, 6, 8)",tensor(38.1100)
"(0, 1, 2, 6, 8)",tensor(42.5300)
"(3, 6, 8)",tensor(46.6200)
"(0, 3, 6, 8)",tensor(53.7200)
"(1, 3, 6, 8)",tensor(43.9900)
"(0, 1, 3, 6, 8)",tensor(50.5300)
"(2, 3, 6, 8)",tensor(56.0700)
"(0, 2, 3, 6, 8)",tensor(61.4500)
"(1, 2, 3, 6, 8)",tensor(52.7900)
"(0, 1, 2, 3, 6, 8)",tensor(58.1100)
"(4, 6, 8)",tensor(38.8700)
"(0, 4, 6, 8)",tensor(47.3100)
"(1, 4, 6, 8)",tensor(36.9600)
"(0, 1, 4, 6, 8)",tensor(43.7200)
"(2, 4, 6, 8)",tensor(38.7800)
"(0, 2, 4, 6, 8)",tensor(45.2200)
"(1, 2, 4, 6, 8)",tensor(39.6700)
"(0, 1, 2, 4, 6, 8)",tensor(44.7400)
"(3, 4, 6, 8)",tensor(56.4200)
"(0, 3, 4, 6, 8)",tensor(63.8800)
"(1, 3, 4, 6, 8)",tensor(52.2300)
"(0, 1, 3, 4, 6, 8)",tensor(59.4600)
"(2, 3, 4, 6, 8)",tensor(55.4500)
"(0, 2, 3, 4, 6, 8)",tensor(60.5600)
"(1, 2, 3, 4, 6, 8)",tensor(53.3100)
"(0, 1, 2, 3, 4, 6, 8)",tensor(57.7000)
"(5, 6, 8)",tensor(46.1100)
"(0, 5, 6, 8)",tensor(44.9800)
"(1, 5, 6, 8)",tensor(43.0100)
"(0, 1, 5, 6, 8)",tensor(46.0500)
"(2, 5, 6, 8)",tensor(55.5200)
"(0, 2, 5, 6, 8)",tensor(52.7800)
"(1, 2, 5, 6, 8)",tensor(51.8200)
"(0, 1, 2, 5, 6, 8)",tensor(53.6800)
"(3, 5, 6, 8)",tensor(62.8300)
"(0, 3, 5, 6, 8)",tensor(60.8200)
"(1, 3, 5, 6, 8)",tensor(58.0100)
"(0, 1, 3, 5, 6, 8)",tensor(60.0500)
"(2, 3, 5, 6, 8)",tensor(70.8700)
"(0, 2, 3, 5, 6, 8)",tensor(67.2600)
"(1, 2, 3, 5, 6, 8)",tensor(65.5400)
"(0, 1, 2, 3, 5, 6, 8)",tensor(65.8900)
"(4, 5, 6, 8)",tensor(54.6700)
"(0, 4, 5, 6, 8)",tensor(55.2700)
